district,maize_yield_kgha,beans_yield_kgha,irish_potato_yield_kgha,sorghum_yield_kgha,cassava_yield_kgha,maize_suitability,beans_suitability,irish_potato_suitability,sorghum_suitability,cassava_suitability
Nyarugenge,1159.0,581.5,2865.0,840.0,11884.5,0,0,0,0,0
Gasabo,1499.5,657.5,4446.5,1058.0,11832.5,1,1,0,1,0
Kicukiro,1194.5,646.5,4696.0,1254.0,12163.5,0,1,1,2,0
Nyanza,1574.5,572.0,4481.5,1232.0,14149.0,2,0,1,2,1
Gisagara,1639.0,621.5,3281.0,1024.0,14942.5,2,0,0,1,2
Nyaruguru,1464.5,743.0,6528.0,693.0,13219.5,1,1,2,0,1
Huye,1429.5,621.0,3830.0,994.0,16115.0,1,0,0,0,2
Nyamagabe,1440.0,628.0,6905.0,938.0,13063.5,1,0,2,0,1
Ruhango,1353.5,560.5,2954.0,853.0,16529.5,0,0,0,0,2
Muhanga,1493.0,578.0,3992.5,1718.5,14912.5,1,0,0,2,2
Kamonyi,1542.5,501.5,4540.0,1111.0,14131.5,2,0,1,1,1
Karongi,1383.5,955.5,5175.0,1122.0,11711.5,0,2,1,1,0
Rutsiro,1225.5,822.5,5929.0,756.0,14144.5,0,2,2,0,1
Rubavu,1649.5,749.0,10852.0,674.5,12324.0,2,1,2,0,0
Nyabihu,1525.5,995.0,10601.0,1170.0,9898.0,1,2,2,1,0
Ngororero,1346.0,890.5,5369.0,708.0,13160.0,0,2,1,0,1
Rusizi,1417.5,765.0,6076.5,896.5,11837.5,1,1,2,0,0
Nyamasheke,1307.0,787.5,2772.0,926.5,11979.0,0,2,0,0,0
Rulindo,1489.0,794.5,5193.0,1122.0,14075.5,1,2,1,1,1
Gakenke,1387.5,773.5,5553.0,1095.0,14512.5,1,1,2,1,2
Musanze,1650.0,1039.0,10726.0,1397.0,7865.0,2,2,2,2,0
Burera,1624.5,958.5,8732.5,1475.5,12707.0,2,2,2,2,0
Gicumbi,1379.5,800.0,7578.5,1355.5,13740.5,0,2,2,2,1
Rwamagana,1307.5,599.5,5107.5,1124.0,15603.5,0,0,1,1,2
Nyagatare,2293.0,813.5,5096.5,1497.0,16012.0,2,2,1,2,2
Gatsibo,1631.5,693.5,4953.5,1267.5,15397.5,2,1,1,2,2
Kayonza,1564.0,693.0,3719.5,1152.0,14085.5,2,1,0,1,1
Kirehe,2287.5,718.5,4383.0,1087.5,14995.0,2,1,0,1,2
Ngoma,1423.0,768.5,4623.0,1175.0,13995.0,1,1,1,2,1
Bugesera,1230.5,571.5,2784.0,1176.0,14191.5,0,0,0,2,2
